City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Vaini,-21.2,-175.2,86.16,74,40,5.75,TO,2022-02-03 04:22:51,scattered clouds
1,Ryotsu,38.0833,138.4333,37.36,76,100,10.31,JP,2022-02-03 04:24:25,overcast clouds
2,Zwedru,6.0667,-8.1281,68.68,99,41,2.24,LR,2022-02-03 04:24:26,scattered clouds
3,Hastings,50.8552,0.5729,48.0,88,100,15.37,GB,2022-02-03 04:24:26,overcast clouds
4,Busselton,-33.65,115.3333,90.05,31,87,8.79,AU,2022-02-03 04:24:26,overcast clouds
5,Rio Gallegos,-51.6226,-69.2181,42.85,87,20,1.14,AR,2022-02-03 04:24:27,few clouds
6,Korla,41.7597,86.1469,27.28,43,54,5.7,CN,2022-02-03 04:24:27,broken clouds
7,Kavaratti,10.5669,72.642,79.93,70,12,8.08,IN,2022-02-03 04:24:27,very heavy rain
8,Ushuaia,-54.8,-68.3,42.46,56,75,17.27,AR,2022-02-03 04:22:03,broken clouds
9,Puerto Ayora,-0.7393,-90.3518,74.55,93,1,3.0,EC,2022-02-03 04:22:53,clear sky
10,Port Alfred,-33.5906,26.891,73.04,91,90,12.35,ZA,2022-02-03 04:24:28,overcast clouds
11,Isangel,-19.55,169.2667,69.91,100,75,5.75,VU,2022-02-03 04:15:55,broken clouds
12,Northam,51.0333,-4.2167,46.02,97,100,8.86,GB,2022-02-03 04:24:28,overcast clouds
13,Punta Arenas,-53.15,-70.9167,42.91,70,40,3.44,CL,2022-02-03 04:19:55,scattered clouds
14,Nata,8.3333,-80.5167,72.59,77,28,5.88,PA,2022-02-03 04:24:29,scattered clouds
15,Labuan,5.2767,115.2417,87.12,70,20,5.75,MY,2022-02-03 04:24:29,few clouds
16,Havre-Saint-Pierre,50.2334,-63.5986,28.99,93,100,11.5,CA,2022-02-03 04:24:29,overcast clouds
17,Kamskoye Ustye,55.2016,49.268,24.8,98,100,6.71,RU,2022-02-03 04:24:30,snow
18,Mehamn,71.0357,27.8492,15.75,86,0,10.36,NO,2022-02-03 04:24:30,clear sky
19,Yellowknife,62.456,-114.3525,-29.7,80,20,6.91,CA,2022-02-03 04:22:53,few clouds
20,Anadyr,64.75,177.4833,14.5,73,0,33.55,RU,2022-02-03 04:24:31,clear sky
21,Shimoda,34.6667,138.95,52.16,49,92,24.72,JP,2022-02-03 04:24:31,overcast clouds
22,San Cristobal,7.7669,-72.225,69.98,61,8,1.54,VE,2022-02-03 04:24:31,clear sky
23,Hithadhoo,-0.6,73.0833,81.59,70,6,4.07,MV,2022-02-03 04:24:31,very heavy rain
